"year","race","south","ed","mu","dimension"
"1969","2","all","4",0.270106827091704,"punitive"
"1970","2","all","4",0.321117544496034,"punitive"
"1971","2","all","4",0.197032697219862,"punitive"
"1972","2","all","4",0.257379381186318,"punitive"
"1973","2","all","4",0.256312561746864,"punitive"
"1974","2","all","4",0.295869316868117,"punitive"
"1975","2","all","4",0.320910215569777,"punitive"
"1976","2","all","4",0.296256914951762,"punitive"
"1977","2","all","4",0.380305374016646,"punitive"
"1978","2","all","4",0.428893285062828,"punitive"
"1980","2","all","4",0.370890623847054,"punitive"
"1981","2","all","4",0.323105696665907,"punitive"
"1982","2","all","4",0.390454788117685,"punitive"
"1983","2","all","4",0.412329379606658,"punitive"
"1984","2","all","4",0.368796396921803,"punitive"
"1985","2","all","4",0.505652048984425,"punitive"
"1986","2","all","4",0.421443507191921,"punitive"
"1987","2","all","4",0.410736830023564,"punitive"
"1988","2","all","4",0.418324024807622,"punitive"
"1989","2","all","4",0.503412606129663,"punitive"
"1990","2","all","4",0.445185823593132,"punitive"
"1991","2","all","4",0.417452652268418,"punitive"
"1992","2","all","4",0.357851070371083,"punitive"
"1993","2","all","4",0.447903545559009,"punitive"
"1994","2","all","4",0.469162584376472,"punitive"
"1995","2","all","4",0.428252993033479,"punitive"
"1996","2","all","4",0.406384720704845,"punitive"
"1997","2","all","4",0.450223166450714,"punitive"
"1998","2","all","4",0.408726432548913,"punitive"
"1999","2","all","4",0.346264005572226,"punitive"
"2000","2","all","4",0.351184166041077,"punitive"
"2001","2","all","4",0.372702819469467,"punitive"
"2002","2","all","4",0.311769729781908,"punitive"
"2003","2","all","4",0.33026161501575,"punitive"
"2004","2","all","4",0.275282788462594,"punitive"
"2005","2","all","4",0.289031555150769,"punitive"
"2006","2","all","4",0.289357756471691,"punitive"
"2008","2","all","4",0.262837222312416,"punitive"
"2010","2","all","4",0.272845323061451,"punitive"
"2012","2","all","4",0.2816663649678,"punitive"
"2013","2","all","4",0.286689607640873,"punitive"
"2014","2","all","4",0.258093382969922,"punitive"
