"facet","y","mname","x","dv","dvlag","ivspec","iv","term","mu","mu.min","mu.max","se","pval","t","type","pval.class","seq","bic","aic","r2","adjr2","sampname","N","N.states","range","pref","prefbic","dvsd","musd","musd.min","musd.max","approach","mod","spec","method","pval.shp","pval.fill","ydisp","order"
"D-in-D","RD X Districts","imprt_t_jur.newds.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t:newds",73.3991968530122,29.9015678609647,116.89682584506,22.1926678530855,0.00100517959005912,3.30736247389957,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,0.606654958777915,0.247140775319589,0.966169142236241,"dd",NA,"newds","normal","at alpha=0.01","+ /at alpha=0.01","RD X Districts",5
"D-in-D","RD X Districts","officers_pcap.newds.normal","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t:newds",15.7897064594377,9.20251178787205,22.3769011310033,3.36081360794164,3.23755103650844e-06,4.69817975686792,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,0.807576991431503,0.470669724124012,1.14448425873899,"dd",NA,"newds","normal","at alpha=0.01","+ /at alpha=0.01","RD X Districts",5
"D-in-D","Region X Time","imprt_t_jur.regtrend.normal","Inc.","imprt_t_jur",NA,NA,"t.post.t","t.post.t",89.4132236268308,8.48405602608163,170.34239122758,41.2903916330353,0.0308313221871501,2.1654728882565,"shortrun","at alpha=0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,120.990022072633,0.739013202040364,0.0701219479155766,1.40790445616515,"dd",NA,"regtrend","normal","at alpha=0.05","+ /at alpha=0.05","Region X Time",7
"D-in-D","Region X Time","officers_pcap.regtrend.normal","Off.","officers_pcap",NA,NA,"t.post.t","t.post.t",21.1981498222501,9.46844002751936,32.9278596169807,5.98454581363811,0.000429019794956916,3.54214847414851,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,19.5519518596598,1.08419609328042,0.484270833698958,1.68412135286188,"dd",NA,"regtrend","normal","at alpha=0.01","+ /at alpha=0.01","Region X Time",7
"D-in-D","Spending","lncorrections_pcap.controls.normal","Inc.","lncorrections_pcap",NA,NA,"t.post.t","t.post.t",-0.0188274131586896,-0.221535051263549,0.18388022494617,0.103422264339214,0.855607811749763,-0.182044101228897,"shortrun","not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,0.314746389822796,-0.0598177255322596,-0.703852556937268,0.584217105872748,"dd",NA,"controls","normal","not sig","- /","Spending",10
"D-in-D","Spending","lnpolicesp_pcap.controls.normal","Off.","lnpolicesp_pcap",NA,NA,"t.post.t","t.post.t",-0.154352737903603,-0.280651414996233,-0.0280540608109739,0.064438100557464,0.0169004392304494,-2.39536449039115,"shortrun","at alpha=0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,0.171791717400721,-0.898487658421623,-1.63367256141683,-0.163302755426415,"dd",NA,"controls","normal","at alpha=0.05","- /at alpha=0.05","Spending",10
"ADL","Bivariate","officers_pcap.fourlagdv.bivariate","Off.","officers_pcap","fourlagdv","bivariate","beopct_all","L.beopct_all",0.806697291263571,0.00722092437942534,1.60617365814772,0.407896105553136,0.0481259211606018,1.97770285197902,"shortrun","at alpha=0.05",9,13938.8236516377,13446.0431203467,0.925393915806803,0.921474312577548,"officers_pcap",1764,49,"1973-2008",FALSE,TRUE,35.0862123893563,0.0229918602302108,0.000205805183508946,0.0457779152769127,"reg",NA,NA,NA,"at alpha=0.05","+ /at alpha=0.05","Biv.",11
"ADL","Bivariate","imprt_t_jur.fourlagdv.bivariate","Inc.","imprt_t_jur","fourlagdv","bivariate","beopct_all","L.beopct_all",0.974230869170088,-0.595873083538502,2.54433482187868,0.801073445259485,0.224127057363051,1.2161567393543,"shortrun","not sig",8,13622.2432555932,13181.0249247189,0.993727114697953,0.99336979844657,"imprt_t_jur",1504,43,"1974-2008",FALSE,FALSE,219.238233094237,0.00444370881584019,-0.00271792504039372,0.0116053426720741,"reg",NA,NA,NA,"not sig","+ /","Biv.",11
"ADL","Division X Time","imprt_t_jur.divtrend","Inc.","imprt_t_jur",NA,NA,"beopct_all",NA,3.37449596276701,-67.0820056943435,71.7792088543551,NA,NA,NA,NA,"not sig",6,NA,NA,NA,NA,NA,1504,43,NA,FALSE,NA,NA,0.0153919136965336,-0.305977678927512,0.327402788470301,"reg","divtrend",NA,NA,"not sig","+ /","Div. X Time",14
"ADL","Division X Time","officers_pcap.divtrend","Off.","officers_pcap",NA,NA,"beopct_all",NA,4.2027196090915,-1.13504789319488,8.9437444414736,NA,NA,NA,NA,"not sig",14,NA,NA,NA,NA,NA,1764,49,NA,FALSE,NA,NA,0.119782653153135,-0.0323502542992985,0.254907664076809,"reg","divtrend",NA,NA,"not sig","+ /","Div. X Time",14
