"year","var","val"
1962,"cenhom",4.9
1963,"cenhom",4.9
1964,"cenhom",5.2
1965,"cenhom",5.6
1966,"cenhom",6
1967,"cenhom",6.8
1968,"cenhom",7.4
1969,"cenhom",7.7
1970,"cenhom",8.3
1971,"cenhom",9.1
1972,"cenhom",9.4
1973,"cenhom",9.7
1974,"cenhom",10.1
1975,"cenhom",9.9
1976,"cenhom",9
1977,"cenhom",9.1
1978,"cenhom",9.2
1979,"cenhom",10
1980,"cenhom",10.7
1981,"cenhom",10.3
1982,"cenhom",9.7
1983,"cenhom",8.6
1984,"cenhom",8.4
1985,"cenhom",8.3
1986,"cenhom",9
1987,"cenhom",8.7
1988,"cenhom",9
1989,"cenhom",9.3
1990,"cenhom",10
1991,"cenhom",10.5
1992,"cenhom",10
1993,"cenhom",10.1
1994,"cenhom",9.6
1995,"cenhom",8.7
1996,"cenhom",7.9
1997,"cenhom",7.26666666666667
