race,income,,2010,,2011,,2012,,2013,,2014,,2015,,,,,,,,,,,,,,,,
Total,Total,,,6.6,,,,7.2,,,,8,,,,7.3,,,,7.7,,,,6.8,,,,,
Non-Hispanic white,Total,,,,5.8,,,,6.5,,,,6.8,,,,6.8,,,,7,,,,6,,,,
,"Less than $7,500",,,11.4,,,,16.3,,,,51.7,,,,38.1,,,,24.5,,,,21.1,,,,,
,"$7,500 to $14,999",,,12.1,,,,31.9,,,,14,,,,25.8,,,,17,,,,26.8,,,,,
,"$15,000 to $24,999",,,11.9,,,,14.8,,,,14.7,,,,14.2,,,,11.9,,,,11.1,,,,,
,"$25,000 to $34,999",,,6.2,,,,8.9,,,,6.4,,,,7,,,,6.7,,,,7,,,,,
,"$35,000 to $49,999",,,6.1,,,,6.6,,,,5.6,,,,7.7,,,,9,,,,6.2,,,,,
,"$50,000 to $74,999",,,5.9,,,,4.2,,,,4.4,,,,4.6,,,,5.1,,,,6.8,,,,,
,"$75,000 or more",,,4.4,,,,3.4,,,,4.8,,,,2.8,,,,4.1,,,,3.3,,,,,
,Unknown,,,4.2,,,,4.4,,,,4.4,,,,5.1,,,,7,,,,3.9,,,,,
Non-Hispanic black,Total,,,,10.4,,,,10.8,,,,11.3,,,,9.5,,,,10.1,,,,8.4,,,,
,"Less than $7,500",,,28.4,,,,17.8,,!,,,21.8,,,,21.5,,,,16.6,,!,,,14.7,,!,
,"$7,500 to $14,999",,,12,,!,,,22.7,,,,20.7,,,,19.2,,,,6,,!,,,21.1,,,
,"$15,000 to $24,999",,,15.4,,,,11.6,,!,,,12.6,,!,,,9.1,,!,,,9.8,,!,,,14.7,
,"$25,000 to $34,999",,,10.1,,!,,,11.4,,!,,,8.7,,!,,,4,,!,,,17.5,,!,,,8
,"$35,000 to $49,999",,,12.7,,!,,,3.8,,!,,,10.8,,,,4.2,,!,,,9.4,,!,,,3.8,
,"$50,000 to $74,999",,,5.7,,!,,,1.6,,!,,,6.4,,!,,,3.4,,!,,,6.9,,!,,,0.7
,"$75,000 or more",,,5.2,,!,,,--,,--,,,3.6,,!,,,9,,!,,,1.9,,!,,,
,Unknown,,,7.2,,,,14.7,,,,12.8,,,,12.4,,,,9.2,,,,9.3,,,,,
Non-Hispanic other,Total,,,,8.5,,,,7.4,,,,10.6,,,,8.8,,,,7.7,,,,10.4,,,,
,"Less than $7,500",,,23.2,,!,,,30.1,,!,,,35.5,,!,,,23.3,,!,,,1.9,,!,,,5.5
,"$7,500 to $14,999",,,18.5,,!,,,24,,!,,,8.4,,!,,,11.5,,!,,,64.5,,!,,,40.1
,"$15,000 to $24,999",,,12.1,,!,,,6.1,,!,,,16,,!,,,3.7,,!,,,12.1,,!,,,10.9
,"$25,000 to $34,999",,,18.3,,!,,,9.3,,!,,,7.2,,!,,,16.8,,!,,,6.2,,!,,,7.2
,"$35,000 to $49,999",,,24.3,,!,,,4.8,,!,,,8.3,,!,,,10.3,,!,,,--,,,4.5,,!
,"$50,000 to $74,999",,,6.1,,!,,,12.7,,!,,,31.1,,!,,,7.2,,!,,,6.3,,!,,,15.1
,"$75,000 or more",,,1.3,,!,,,2.9,,!,,,2.7,,!,,,0.6,,!,,,6.3,,!,,,15.1
,Unknown,,,3.3,,!,,,4.2,,!,,,6.7,,!,,,14.6,,,,3.4,,!,,,2.2,
Hispanic,Total,,,6.7,,,,7.2,,,,9.3,,,,7.5,,,,8.3,,,,7.1,,,,,
,"Less than $7,500",,,33,,!,,,30.1,,,,13.8,,!,,,19.9,,!,,,16.5,,!,,,15.7,
,"$7,500 to $14,999",,,7.7,,!,,,10.9,,!,,,8.7,,!,,,9.4,,!,,,28.9,,,,10.1,
,"$15,000 to $24,999",,,9.5,,,,7.4,,,,6.8,,!,,,13.9,,,,5.2,,!,,,5.5,,,
,"$25,000 to $34,999",,,3,,!,,,7.5,,!,,,8.2,,,,8.4,,,,13.4,,,,6.4,,,
,"$35,000 to $49,999",,,6.8,,!,,,5.4,,,,7,,,,7.7,,,,5.2,,,,5.3,,!,,
,"$50,000 to $74,999",,,5.4,,!,,,5.4,,!,,,14.7,,,,3.8,,!,,,2.9,,!,,,4.1,
,"$75,000 or more",,,2.3,,!,,,6.5,,,,7.9,,,,2.1,,!,,,4.3,,!,,,4.1,,!
,Unknown,,,5.9,,,,4.5,,,,10,,,,5.9,,,,6.5,,,,10.4,,,,,
