"state_alpha2","year","race","mu","dimension"
"NV","1957","1",0.353915602393471,"all"
"NH","1957","1",0.329712384210618,"all"
"NJ","1957","1",0.348140434996142,"all"
"NM","1957","1",0.348763201265767,"all"
"NY","1957","1",0.347283416054986,"all"
"NC","1957","1",0.365738575017363,"all"
"ND","1957","1",0.323526342018461,"all"
"OH","1957","1",0.341910190287388,"all"
"OK","1957","1",0.371354341930324,"all"
"OR","1957","1",0.349565783775358,"all"
"PA","1957","1",0.348574648512637,"all"
"RI","1957","1",0.327402541224229,"all"
"SC","1957","1",0.365306907326523,"all"
"SD","1957","1",0.324111421289456,"all"
"TN","1957","1",0.362087084025008,"all"
"TX","1957","1",0.37097778837936,"all"
"UT","1957","1",0.34990873170341,"all"
"VT","1957","1",0.328785025416774,"all"
"VA","1957","1",0.365880131747442,"all"
"WA","1957","1",0.349258576550277,"all"
"WV","1957","1",0.365439878817088,"all"
"WI","1957","1",0.342114227128572,"all"
"WY","1957","1",0.351944819417861,"all"
"all","1957","1",0.348379165989567,"all"
"AL","1960","1",0.417742502609296,"all"
"AK","1960","1",0.409546664900285,"all"
"AZ","1960","1",0.403193081161446,"all"
"AR","1960","1",0.426005764299459,"all"
"CA","1960","1",0.402481258655113,"all"
"CO","1960","1",0.402963179664258,"all"
"CT","1960","1",0.381461880182445,"all"
"DE","1960","1",0.421989431281566,"all"
"DC","1960","1",0.414083002690428,"all"
"FL","1960","1",0.422806179688221,"all"
"GA","1960","1",0.421156043098075,"all"
"HI","1960","1",0.400557662590528,"all"
"ID","1960","1",0.406350580960289,"all"
"IL","1960","1",0.394873087724434,"all"
"IN","1960","1",0.396281216408076,"all"
"IA","1960","1",0.37827054047933,"all"
"KS","1960","1",0.377331574989098,"all"
"KY","1960","1",0.415406944000418,"all"
"LA","1960","1",0.426146269121043,"all"
"ME","1960","1",0.383387961331634,"all"
"MD","1960","1",0.421289083032488,"all"
"MA","1960","1",0.382531262960341,"all"
"MI","1960","1",0.396058566879835,"all"
"MN","1960","1",0.376492179498191,"all"
"MS","1960","1",0.418694361753024,"all"
"MO","1960","1",0.37503512189614,"all"
"MT","1960","1",0.405099077046385,"all"
"NE","1960","1",0.378461874857023,"all"
"NV","1960","1",0.407831885796084,"all"
"NH","1960","1",0.382722973571153,"all"
"NJ","1960","1",0.402042322457566,"all"
"NM","1960","1",0.402488775497417,"all"
"NY","1960","1",0.400953506779838,"all"
"NC","1960","1",0.421078698888941,"all"
"ND","1960","1",0.376134679597879,"all"
"OH","1960","1",0.395921685588779,"all"
"OK","1960","1",0.426518777467162,"all"
"OR","1960","1",0.404106718819101,"all"
"PA","1960","1",0.403255678501559,"all"
"RI","1960","1",0.379899060681576,"all"
"SC","1960","1",0.42044728326942,"all"
"SD","1960","1",0.377228552014661,"all"
"TN","1960","1",0.416825471364885,"all"
"TX","1960","1",0.425877325914727,"all"
"UT","1960","1",0.404372645901181,"all"
"VT","1960","1",0.381830787836358,"all"
"VA","1960","1",0.420707902047141,"all"
"WA","1960","1",0.403576298411117,"all"
"WV","1960","1",0.420542122110557,"all"
"WI","1960","1",0.396283366460153,"all"
"WY","1960","1",0.406466193159221,"all"
"all","1960","1",0.402570611459305,"all"
"AL","1965","1",0.31182081092304,"all"
"AK","1965","1",0.301968037307086,"all"
"AZ","1965","1",0.298420565212762,"all"
"AR","1965","1",0.318967171382116,"all"
"CA","1965","1",0.297336559851759,"all"
"CO","1965","1",0.298335897007927,"all"
"CT","1965","1",0.279479965034113,"all"
"DE","1965","1",0.314894392085539,"all"
"DC","1965","1",0.30407132347005,"all"
"FL","1965","1",0.3155221662827,"all"
"GA","1965","1",0.31347107469238,"all"
