"race","income","year","count","rate","number","class"
"other","50000 to 74999",2009,2907,1.6,1816875,"middle"
"other","50000 to 74999",2010,10913,6.1,1789016.39344262,"middle"
"other","50000 to 74999",2011,25131,12.7,1978818.8976378,"middle"
"other","50000 to 74999",2012,65376,31.1,2102122.18649518,"middle"
"other","50000 to 74999",2013,16456,7.2,2285555.55555556,"middle"
"other","50000 to 74999",2014,15213,6.3,2414761.9047619,"middle"
"other","50000 to 74999",2015,37551,15.1,2486821.19205298,"middle"
"other","7500 to 14999",1993,57132,60,952200,"poor"
"other","7500 to 14999",1994,42490,43.9,967881.548974943,"poor"
"other","7500 to 14999",1995,12705,14.1,901063.829787234,"poor"
"other","7500 to 14999",1996,74347,84.9,875700.824499411,"poor"
"other","7500 to 14999",1997,33438,40.7,821572.481572482,"poor"
"other","7500 to 14999",1998,14184,16.8,844285.714285714,"poor"
"other","7500 to 14999",1999,15202,20.9,727368.421052632,"poor"
"other","7500 to 14999",2000,23676,32.1,737570.093457944,"poor"
"other","7500 to 14999",2001,5648,9.1,620659.340659341,"poor"
"other","7500 to 14999",2002,2021,3.3,612424.242424242,"poor"
"other","7500 to 14999",2003,36127,45.1,801042.128603104,"poor"
"other","7500 to 14999",2004,8181,8.5,962470.588235294,"poor"
"other","7500 to 14999",2005,NA,NA,NA,"poor"
"other","7500 to 14999",2006,14113,18.4,767010.869565217,"poor"
"other","7500 to 14999",2007,7749,10.8,717500,"poor"
"other","7500 to 14999",2008,NA,NA,NA,"poor"
"other","7500 to 14999",2009,25285,37.3,677882.037533512,"poor"
"other","7500 to 14999",2010,12658,18.5,684216.216216216,"poor"
"other","7500 to 14999",2011,17640,24,735000,"poor"
"other","7500 to 14999",2012,7324,8.4,871904.761904762,"poor"
"other","7500 to 14999",2013,10583,11.5,920260.869565217,"poor"
"other","7500 to 14999",2014,53246,64.5,825519.379844961,"poor"
"other","7500 to 14999",2015,30863,40.1,769650.872817955,"poor"
"other","75000 or more",1993,17238,23.8,724285.714285714,"rich"
"other","75000 or more",1994,2596,3.2,811250,"rich"
"other","75000 or more",1995,4908,5.6,876428.571428571,"rich"
"other","75000 or more",1996,19169,18.6,1030591.39784946,"rich"
"other","75000 or more",1997,2301,2.1,1095714.28571429,"rich"
"other","75000 or more",1998,40135,28.9,1388754.32525952,"rich"
"other","75000 or more",1999,10324,6.9,1496231.88405797,"rich"
"other","75000 or more",2000,7590,4.2,1807142.85714286,"rich"
"other","75000 or more",2001,8813,4.4,2002954.54545455,"rich"
"other","75000 or more",2002,2872,1.3,2209230.76923077,"rich"
"other","75000 or more",2003,11918,4.4,2708636.36363636,"rich"
"other","75000 or more",2004,11299,4,2824750,"rich"
"other","75000 or more",2005,26435,7.9,3346202.53164557,"rich"
"other","75000 or more",2006,31464,8.7,3616551.72413793,"rich"
"other","75000 or more",2007,10870,2.8,3882142.85714286,"rich"
"other","75000 or more",2008,26027,6.5,4004153.84615385,"rich"
"other","75000 or more",2009,3680,0.9,4088888.88888889,"rich"
"other","75000 or more",2010,5365,1.3,4126923.07692308,"rich"
"other","75000 or more",2011,13329,2.9,4596206.89655172,"rich"
"other","75000 or more",2012,14218,2.7,5265925.92592593,"rich"
"other","75000 or more",2013,3024,0.6,5040000,"rich"
"other","75000 or more",2014,34510,6.3,5477777.77777778,"rich"
"other","75000 or more",2015,92069,15.1,6097284.76821192,"rich"
"other","less than 7500",1993,19676,26.6,739699.248120301,"poor"
"other","less than 7500",1994,21351,32,667218.75,"poor"
"other","less than 7500",1995,46129,71.7,643361.227336123,"poor"
"other","less than 7500",1996,34357,56.6,607014.134275618,"poor"
"other","less than 7500",1997,10703,15.9,673144.65408805,"poor"
"other","less than 7500",1998,11067,19.6,564642.857142857,"poor"
"other","less than 7500",1999,2545,5,509000,"poor"
"other","less than 7500",2000,8171,18.8,434627.659574468,"poor"
"other","less than 7500",2001,5930,12.9,459689.92248062,"poor"
"other","less than 7500",2002,NA,NA,NA,"poor"
"other","less than 7500",2003,13658,25.6,533515.625,"poor"
"other","less than 7500",2004,4695,8.1,579629.62962963,"poor"
"other","less than 7500",2005,37890,72.6,521900.826446281,"poor"
"other","less than 7500",2006,12257,18.8,651968.085106383,"poor"
"other","less than 7500",2007,NA,NA,NA,"poor"
"other","less than 7500",2008,6430,11.3,569026.548672566,"poor"
"other","less than 7500",2009,12563,30.5,411901.639344262,"poor"
"other","less than 7500",2010,13288,23.2,572758.620689655,"poor"
"other","less than 7500",2011,22102,30.1,734285.714285714,"poor"
"other","less than 7500",2012,26027,35.5,733154.929577465,"poor"
"other","less than 7500",2013,16279,23.3,698669.527896996,"poor"
"other","less than 7500",2014,1509,1.9,794210.52631579,"poor"
"other","less than 7500",2015,4177,5.5,759454.545454545,"poor"
"white","15000 to 24999",1993,687281,27.9,24633727.5985663,"middle"
"white","15000 to 24999",1994,595833,24.4,24419385.2459016,"middle"
"white","15000 to 24999",1995,407536,17.8,22895280.8988764,"middle"
"white","15000 to 24999",1996,453279,20.8,21792259.6153846,"middle"
"white","15000 to 24999",1997,547337,26.3,20811292.7756654,"middle"
"white","15000 to 24999",1998,290884,14.4,20200277.7777778,"middle"
"white","15000 to 24999",1999,535924,28.8,18608472.2222222,"middle"
"white","15000 to 24999",2000,214527,12.9,16630000,"middle"
"white","15000 to 24999",2001,217250,14.1,15407801.4184397,"middle"
"white","15000 to 24999",2002,167169,11.6,14411120.6896552,"middle"
"white","15000 to 24999",2003,121413,8.2,14806463.4146341,"middle"
"white","15000 to 24999",2004,174757,12.3,14207886.1788618,"middle"
"white","15000 to 24999",2005,241324,18.2,13259560.4395604,"middle"
"white","15000 to 24999",2006,229826,18.2,12627802.1978022,"middle"
"white","15000 to 24999",2007,123590,11.8,10473728.8135593,"middle"
"white","15000 to 24999",2008,136358,13.5,10100592.5925926,"middle"
"white","15000 to 24999",2009,74816,7,10688000,"middle"
"white","15000 to 24999",2010,128168,11.9,10770420.1680672,"middle"
"white","15000 to 24999",2011,159556,14.8,10780810.8108108,"middle"
"white","15000 to 24999",2012,156159,14.7,10623061.2244898,"middle"
"white","15000 to 24999",2013,142994,14.2,10070000,"middle"
"white","15000 to 24999",2014,112046,11.9,9415630.25210084,"middle"
"white","15000 to 24999",2015,98981,11.1,8917207.20720721,"middle"
"white","25000 to 34999",1993,521604,20.7,25198260.8695652,"middle"
"white","25000 to 34999",1994,549880,23.1,23804329.004329,"middle"
"white","25000 to 34999",1995,497142,21.4,23230934.5794393,"middle"
"white","25000 to 34999",1996,405659,18.1,22412099.4475138,"middle"
"white","25000 to 34999",1997,440168,20.3,21683152.7093596,"middle"
"white","25000 to 34999",1998,379525,18.2,20853021.978022,"middle"
"white","25000 to 34999",1999,225639,11.5,19620782.6086957,"middle"
"white","25000 to 34999",2000,231480,12.5,18518400,"middle"
"white","25000 to 34999",2001,139988,7.9,17720000,"middle"
"white","25000 to 34999",2002,222397,13.8,16115724.6376812,"middle"
"white","25000 to 34999",2003,246683,15.7,15712292.9936306,"middle"
"white","25000 to 34999",2004,100310,6.7,14971641.7910448,"middle"
"white","25000 to 34999",2005,115223,8.2,14051585.3658537,"middle"
"white","25000 to 34999",2006,318594,22.6,14097079.6460177,"middle"
"white","25000 to 34999",2007,89701,7.1,12633943.6619718,"middle"
"white","25000 to 34999",2008,98397,8.3,11855060.2409639,"middle"
"white","25000 to 34999",2009,63128,5.2,12140000,"middle"
"white","25000 to 34999",2010,78103,6.2,12597258.0645161,"middle"
"white","25000 to 34999",2011,109532,8.9,12306966.2921348,"middle"
"white","25000 to 34999",2012,83221,6.4,13003281.25,"middle"
"white","25000 to 34999",2013,89598,7,12799714.2857143,"middle"
"white","25000 to 34999",2014,83475,6.7,12458955.2238806,"middle"
"white","25000 to 34999",2015,83417,7,11916714.2857143,"middle"
"white","35000 to 49999",1993,722917,25.8,28020038.7596899,"middle"
"white","35000 to 49999",1994,553907,19.6,28260561.2244898,"middle"
"white","35000 to 49999",1995,571893,19.8,28883484.8484848,"middle"
"white","35000 to 49999",1996,518535,18.1,28648342.5414365,"middle"
"white","35000 to 49999",1997,551950,19.7,28017766.4974619,"middle"
"white","35000 to 49999",1998,270169,10.1,26749405.9405941,"middle"
"white","35000 to 49999",1999,286470,11.1,25808108.1081081,"middle"
"white","35000 to 49999",2000,289545,11.7,24747435.8974359,"middle"
"white","35000 to 49999",2001,259924,10.9,23846238.5321101,"middle"
"white","35000 to 49999",2002,191793,8.2,23389390.2439024,"middle"
"white","35000 to 49999",2003,220942,9.5,23257052.6315789,"middle"
"white","35000 to 49999",2004,197092,9,21899111.1111111,"middle"
"white","35000 to 49999",2005,163649,7.6,21532763.1578947,"middle"
"white","35000 to 49999",2006,203726,9.8,20788367.3469388,"middle"
"white","35000 to 49999",2007,160969,8.3,19393855.4216867,"middle"
"white","35000 to 49999",2008,109551,5.7,19219473.6842105,"middle"
"white","35000 to 49999",2009,118415,6,19735833.3333333,"middle"
"white","35000 to 49999",2010,116142,6.1,19039672.1311475,"middle"
"white","35000 to 49999",2011,125589,6.6,19028636.3636364,"middle"
"white","35000 to 49999",2012,107010,5.6,19108928.5714286,"middle"
"white","35000 to 49999",2013,146926,7.7,19081298.7012987,"middle"
"white","35000 to 49999",2014,157317,9,17479666.6666667,"middle"
"white","35000 to 49999",2015,105483,6.2,17013387.0967742,"middle"
"white","50000 to 74999",1993,541570,23.3,23243347.639485,"middle"
"white","50000 to 74999",1994,429060,17.9,23969832.4022346,"middle"
"white","50000 to 74999",1995,488479,19.8,24670656.5656566,"middle"
"white","50000 to 74999",1996,376046,14.3,26296923.0769231,"middle"
"white","50000 to 74999",1997,441922,16.3,27111779.1411043,"middle"
"white","50000 to 74999",1998,377133,13.7,27527956.2043796,"middle"
"white","50000 to 74999",1999,339177,12.1,28031157.0247934,"middle"
"white","50000 to 74999",2000,224376,7.9,28402025.3164557,"middle"
"white","50000 to 74999",2001,185741,6.6,28142575.7575758,"middle"
"white","50000 to 74999",2002,153667,5.7,26959122.8070175,"middle"
"white","50000 to 74999",2003,199307,7.1,28071408.4507042,"middle"
"white","50000 to 74999",2004,239348,8.6,27831162.7906977,"middle"
"white","50000 to 74999",2005,170776,6.1,27996065.5737705,"middle"
"white","50000 to 74999",2006,380034,13.4,28360746.2686567,"middle"
"white","50000 to 74999",2007,143391,5.6,25605535.7142857,"middle"
"white","50000 to 74999",2008,174828,7,24975428.5714286,"middle"
"white","50000 to 74999",2009,198024,7.8,25387692.3076923,"middle"
"white","50000 to 74999",2010,146352,5.9,24805423.7288136,"middle"
"white","50000 to 74999",2011,101989,4.2,24283095.2380952,"middle"
"white","50000 to 74999",2012,106568,4.4,24220000,"middle"
"white","50000 to 74999",2013,111075,4.6,24146739.1304348,"middle"
"white","50000 to 74999",2014,118063,5.1,23149607.8431373,"middle"
"white","50000 to 74999",2015,160212,6.8,23560588.2352941,"middle"
"white","7500 to 14999",1993,474021,26.9,17621598.5130112,"poor"
"white","7500 to 14999",1994,456307,26.8,17026380.5970149,"poor"
"white","7500 to 14999",1995,353002,21.8,16192752.293578,"poor"
"white","7500 to 14999",1996,431076,28.1,15340782.9181495,"poor"
"white","7500 to 14999",1997,403409,28.1,14356192.1708185,"poor"
"white","7500 to 14999",1998,320366,24.8,12917983.8709677,"poor"
"white","7500 to 14999",1999,297290,25.2,11797222.2222222,"poor"
"white","7500 to 14999",2000,145370,14.3,10165734.2657343,"poor"
"white","7500 to 14999",2001,150168,15.8,9504303.79746835,"poor"
"white","7500 to 14999",2002,129828,14.5,8953655.17241379,"poor"
"white","7500 to 14999",2003,163653,18.3,8942786.8852459,"poor"
"white","7500 to 14999",2004,94378,11.1,8502522.52252252,"poor"
"white","7500 to 14999",2005,102529,12.6,8137222.22222222,"poor"
"white","7500 to 14999",2006,108289,13.9,7790575.53956835,"poor"
"white","7500 to 14999",2007,199116,31.1,6402443.72990354,"poor"
"white","7500 to 14999",2008,165153,28.7,5754459.93031359,"poor"
"white","7500 to 14999",2009,88919,14.7,6048911.56462585,"poor"
"white","7500 to 14999",2010,75990,12.1,6280165.2892562,"poor"
"white","7500 to 14999",2011,194372,31.9,6093166.14420063,"poor"
"white","7500 to 14999",2012,93181,14,6655785.71428571,"poor"
"white","7500 to 14999",2013,161772,25.8,6270232.55813953,"poor"
"white","7500 to 14999",2014,98569,17,5798176.47058824,"poor"
"white","7500 to 14999",2015,145369,26.8,5424216.41791045,"poor"
"white","75000 or more",1993,298947,19.7,15174974.6192893,"rich"
"white","75000 or more",1994,347970,21.3,16336619.7183099,"rich"
"white","75000 or more",1995,284232,15.2,18699473.6842105,"rich"
"white","75000 or more",1996,303670,14.4,21088194.4444444,"rich"
"white","75000 or more",1997,353346,15,23556400,"rich"
"white","75000 or more",1998,345520,13.5,25594074.0740741,"rich"
"white","75000 or more",1999,196870,6.9,28531884.057971,"rich"
"white","75000 or more",2000,268531,8.2,32747682.9268293,"rich"
"white","75000 or more",2001,223085,6.4,34857031.25,"rich"
"white","75000 or more",2002,188056,5.2,36164615.3846154,"rich"
"white","75000 or more",2003,247091,6.2,39853387.0967742,"rich"
"white","75000 or more",2004,289766,6.9,41995072.4637681,"rich"
"white","75000 or more",2005,232895,5.3,43942452.8301887,"rich"
"white","75000 or more",2006,250797,5.4,46443888.8888889,"rich"
"white","75000 or more",2007,206264,4.5,45836444.4444444,"rich"
"white","75000 or more",2008,205729,4.3,47843953.4883721,"rich"
"white","75000 or more",2009,212541,4.5,47231333.3333333,"rich"
"white","75000 or more",2010,199466,4.4,45333181.8181818,"rich"
"white","75000 or more",2011,158937,3.4,46746176.4705882,"rich"
"white","75000 or more",2012,231919,4.8,48316458.3333333,"rich"
"white","75000 or more",2013,135395,2.8,48355357.1428571,"rich"
"white","75000 or more",2014,204482,4.1,49873658.5365854,"rich"
"white","75000 or more",2015,169329,3.3,51311818.1818182,"rich"
"white","less than 7500",1993,578935,54.9,10545264.1165756,"poor"
"white","less than 7500",1994,455648,46.5,9798881.72043011,"poor"
"white","less than 7500",1995,319264,34.9,9147965.61604585,"poor"
"white","less than 7500",1996,375880,47.2,7963559.3220339,"poor"
"white","less than 7500",1997,287982,42.4,6792028.30188679,"poor"
"white","less than 7500",1998,227083,36.4,6238543.95604396,"poor"
"white","less than 7500",1999,157402,27.7,5682382.67148014,"poor"
"white","less than 7500",2000,222042,42.4,5236839.62264151,"poor"
"white","less than 7500",2001,177917,37.3,4769892.7613941,"poor"
"white","less than 7500",2002,100179,22.8,4393815.78947368,"poor"
"white","less than 7500",2003,122842,27,4549703.7037037,"poor"
"white","less than 7500",2004,195695,41,4773048.7804878,"poor"
"white","less than 7500",2005,69607,15.3,4549477.12418301,"poor"
"white","less than 7500",2006,139485,33,4226818.18181818,"poor"
"white","less than 7500",2007,81444,22.8,3572105.26315789,"poor"
"white","less than 7500",2008,62670,18.7,3351336.89839572,"poor"
"white","less than 7500",2009,57687,17.8,3240842.69662921,"poor"
"white","less than 7500",2010,41158,11.4,3610350.87719298,"poor"
"white","less than 7500",2011,57897,16.3,3551963.19018405,"poor"
"white","less than 7500",2012,186295,51.7,3603384.91295938,"poor"
"white","less than 7500",2013,130943,38.1,3436824.14698163,"poor"
"white","less than 7500",2014,82377,24.5,3362326.53061224,"poor"
"white","less than 7500",2015,64627,21.1,3062890.99526066,"poor"
