"race","income","year","count","rate","number","class"
"hispanic","50000 to 74999",1999,18395,9,2043888.88888889,"middle"
"hispanic","50000 to 74999",2000,58379,24.9,2344538.15261044,"middle"
"hispanic","50000 to 74999",2001,26828,10.9,2461284.40366972,"middle"
"hispanic","50000 to 74999",2002,13237,4.9,2701428.57142857,"middle"
"hispanic","50000 to 74999",2003,63357,20.8,3046009.61538462,"middle"
"hispanic","50000 to 74999",2004,10866,3.5,3104571.42857143,"middle"
"hispanic","50000 to 74999",2005,36175,10.4,3478365.38461538,"middle"
"hispanic","50000 to 74999",2006,29892,8.1,3690370.37037037,"middle"
"hispanic","50000 to 74999",2007,7806,1.9,4108421.05263158,"middle"
"hispanic","50000 to 74999",2008,43364,10.9,3978348.62385321,"middle"
"hispanic","50000 to 74999",2009,60709,15.6,3891602.56410256,"middle"
"hispanic","50000 to 74999",2010,20997,5.4,3888333.33333333,"middle"
"hispanic","50000 to 74999",2011,22888,5.4,4238518.51851852,"middle"
"hispanic","50000 to 74999",2012,68288,14.7,4645442.17687075,"middle"
"hispanic","50000 to 74999",2013,17562,3.8,4621578.94736842,"middle"
"hispanic","50000 to 74999",2014,12789,2.9,4410000,"middle"
"hispanic","50000 to 74999",2015,19392,4.1,4729756.09756098,"middle"
"hispanic","7500 to 14999",1993,134174,39.3,3414096.69211196,"poor"
"hispanic","7500 to 14999",1994,158729,42.9,3699976.68997669,"poor"
"hispanic","7500 to 14999",1995,108776,29.3,3712491.46757679,"poor"
"hispanic","7500 to 14999",1996,50351,13.5,3729703.7037037,"poor"
"hispanic","7500 to 14999",1997,114801,30.5,3763967.21311475,"poor"
"hispanic","7500 to 14999",1998,71098,20.3,3502364.5320197,"poor"
"hispanic","7500 to 14999",1999,51964,15.6,3331025.64102564,"poor"
"hispanic","7500 to 14999",2000,61795,17.7,3491242.93785311,"poor"
"hispanic","7500 to 14999",2001,45143,14.7,3070952.38095238,"poor"
"hispanic","7500 to 14999",2002,22894,7.5,3052533.33333333,"poor"
"hispanic","7500 to 14999",2003,38689,11.9,3251176.47058824,"poor"
"hispanic","7500 to 14999",2004,27091,8.8,3078522.72727273,"poor"
"hispanic","7500 to 14999",2005,87657,29.9,2931672.24080268,"poor"
"hispanic","7500 to 14999",2006,27054,10.3,2626601.94174757,"poor"
"hispanic","7500 to 14999",2007,37770,18.6,2030645.16129032,"poor"
"hispanic","7500 to 14999",2008,30331,14.8,2049391.89189189,"poor"
"hispanic","7500 to 14999",2009,21984,9.5,2314105.26315789,"poor"
"hispanic","7500 to 14999",2010,20424,7.7,2652467.53246753,"poor"
"hispanic","7500 to 14999",2011,28345,10.9,2600458.71559633,"poor"
"hispanic","7500 to 14999",2012,25953,8.7,2983103.44827586,"poor"
"hispanic","7500 to 14999",2013,25640,9.4,2727659.57446809,"poor"
"hispanic","7500 to 14999",2014,82008,28.9,2837647.05882353,"poor"
"hispanic","7500 to 14999",2015,26787,10.1,2652178.21782178,"poor"
"hispanic","75000 or more",1993,28410,49.3,576267.748478702,"rich"
"hispanic","75000 or more",1994,19936,31.2,638974.358974359,"rich"
"hispanic","75000 or more",1995,17661,23.6,748347.457627119,"rich"
"hispanic","75000 or more",1996,12913,16.2,797098.765432099,"rich"
"hispanic","75000 or more",1997,2846,2.9,981379.310344828,"rich"
"hispanic","75000 or more",1998,45260,41.7,1085371.70263789,"rich"
"hispanic","75000 or more",1999,23120,18.1,1277348.06629834,"rich"
"hispanic","75000 or more",2000,22639,12.9,1754961.24031008,"rich"
"hispanic","75000 or more",2001,58127,28.3,2053957.59717314,"rich"
"hispanic","75000 or more",2002,12608,5.8,2173793.10344828,"rich"
"hispanic","75000 or more",2003,17036,6,2839333.33333333,"rich"
"hispanic","75000 or more",2004,7003,2.4,2917916.66666667,"rich"
"hispanic","75000 or more",2005,51325,16.7,3073353.29341317,"rich"
"hispanic","75000 or more",2006,67158,21.2,3167830.18867925,"rich"
"hispanic","75000 or more",2007,18597,4.6,4042826.08695652,"rich"
"hispanic","75000 or more",2008,20575,4.6,4472826.08695652,"rich"
"hispanic","75000 or more",2009,17848,4,4462000,"rich"
"hispanic","75000 or more",2010,10468,2.3,4551304.34782609,"rich"
"hispanic","75000 or more",2011,32100,6.5,4938461.53846154,"rich"
"hispanic","75000 or more",2012,42085,7.9,5327215.18987342,"rich"
"hispanic","75000 or more",2013,10983,2.1,5230000,"rich"
"hispanic","75000 or more",2014,24729,4.3,5750930.23255814,"rich"
"hispanic","75000 or more",2015,26830,4.1,6543902.43902439,"rich"
"hispanic","less than 7500",1993,153536,66.7,2301889.05547226,"poor"
"hispanic","less than 7500",1994,170270,69.9,2435908.44062947,"poor"
"hispanic","less than 7500",1995,124223,53.2,2335018.79699248,"poor"
"hispanic","less than 7500",1996,86446,37.6,2299095.74468085,"poor"
"hispanic","less than 7500",1997,115649,54.4,2125900.73529412,"poor"
"hispanic","less than 7500",1998,20908,12.1,1727933.88429752,"poor"
"hispanic","less than 7500",1999,36507,21.8,1674633.02752294,"poor"
"hispanic","less than 7500",2000,33996,22.4,1517678.57142857,"poor"
"hispanic","less than 7500",2001,25743,17.7,1454406.77966102,"poor"
"hispanic","less than 7500",2002,12123,9,1347000,"poor"
"hispanic","less than 7500",2003,34453,27.5,1252836.36363636,"poor"
"hispanic","less than 7500",2004,17454,13.2,1322272.72727273,"poor"
"hispanic","less than 7500",2005,34988,27.1,1291070.11070111,"poor"
"hispanic","less than 7500",2006,24410,20.7,1179227.0531401,"poor"
"hispanic","less than 7500",2007,5369,4.7,1142340.42553191,"poor"
"hispanic","less than 7500",2008,19956,17,1173882.35294118,"poor"
"hispanic","less than 7500",2009,32875,26.6,1235902.2556391,"poor"
"hispanic","less than 7500",2010,43836,33,1328363.63636364,"poor"
"hispanic","less than 7500",2011,44879,30.1,1490996.67774086,"poor"
"hispanic","less than 7500",2012,19686,13.8,1426521.73913043,"poor"
"hispanic","less than 7500",2013,31343,19.9,1575025.12562814,"poor"
"hispanic","less than 7500",2014,28995,16.5,1757272.72727273,"poor"
"hispanic","less than 7500",2015,21640,15.7,1378343.94904459,"poor"
"black","15000 to 24999",1993,200003,47.1,4246348.19532909,"middle"
"black","15000 to 24999",1994,181938,42.4,4290990.56603774,"middle"
"black","15000 to 24999",1995,176842,41.4,4271545.89371981,"middle"
"black","15000 to 24999",1996,120240,28.7,4189547.03832753,"middle"
"black","15000 to 24999",1997,181648,43.5,4175816.09195402,"middle"
"black","15000 to 24999",1998,85729,20.5,4181902.43902439,"middle"
"black","15000 to 24999",1999,128527,30.7,4186547.23127036,"middle"
"black","15000 to 24999",2000,54201,13.5,4014888.88888889,"middle"
"black","15000 to 24999",2001,154378,38.3,4030757.18015666,"middle"
"black","15000 to 24999",2002,151640,37.7,4022281.16710875,"middle"
"black","15000 to 24999",2003,50583,13.5,3746888.88888889,"middle"
"black","15000 to 24999",2004,117108,32.7,3581284.40366972,"middle"
"black","15000 to 24999",2005,138049,42.2,3271303.31753554,"middle"
"black","15000 to 24999",2006,160940,57.2,2813636.36363636,"middle"
"black","15000 to 24999",2007,36010,12.8,2813281.25,"middle"
"black","15000 to 24999",2008,28182,10.3,2736116.50485437,"middle"
"black","15000 to 24999",2009,53408,16.7,3198083.83233533,"middle"
"black","15000 to 24999",2010,51746,15.4,3360129.87012987,"middle"
"black","15000 to 24999",2011,35182,11.6,3032931.03448276,"middle"
"black","15000 to 24999",2012,41580,12.6,3300000,"middle"
"black","15000 to 24999",2013,29415,9.1,3232417.58241758,"middle"
"black","15000 to 24999",2014,31161,9.8,3179693.87755102,"middle"
"black","15000 to 24999",2015,47269,14.7,3215578.23129252,"middle"
"black","25000 to 34999",1993,71829,23.3,3082789.69957082,"middle"
"black","25000 to 34999",1994,79486,25.9,3068957.52895753,"middle"
"black","25000 to 34999",1995,80858,26.5,3051245.28301887,"middle"
