"county","year","homrate","population"
"Peoria County, IL",2010,10.7,186494
"Philadelphia County, PA",2016,18,1567872
"Pierce County, WA",2016,4.2,861312
"Pima County, AZ",2016,5.5,1016206
"Pinal County, AZ",2016,4.8,418540
"Pinellas County, FL",2016,5.4,960730
"Plymouth County, MA",2011,4.4,497579
"Polk County, FL",2016,6.9,666149
"Polk County, IA",2016,4.6,474045
"Portsmouth city, VA",2015,20.8,96201
"Prince George's County, MD",2016,13.2,908049
"Prince William County, VA",2016,5.3,455210
"Providence County, RI",2016,3.3,633673
"Pulaski County, AR",2016,16.3,393250
"Queens County, NY",2016,2.4,2333054
"Ramsey County, MN",2015,4.3,538133
"Rapides Parish, LA",2014,16.6,132488
"Richland County, SC",2016,11.2,409549
"Richmond city, VA",2016,21.5,223170
"Richmond County, GA",2016,12.9,201647
"Richmond County, NY",2010,4.5,468730
"Riverside County, CA",2016,3.9,2387741
"Robeson County, NC",2016,30,133235
"Sacramento County, CA",2016,6.3,1514460
"Saginaw County, MI",2013,14.8,196542
"Salt Lake County, UT",2016,3.8,1121354
"San Bernardino County, CA",2016,6.6,2140096
"San Diego County, CA",2016,3.1,3317749
"San Francisco County, CA",2016,5.1,870887
"San Joaquin County, CA",2016,9.9,733709
"San Mateo County, CA",2013,2.7,747373
"Santa Clara County, CA",2016,2.9,1919402
"Sarasota County, FL",2007,6.1,375325
"Sedgwick County, KS",2016,6.6,511995
"Seminole County, FL",2016,6.1,455479
"Shawnee County, KS",2012,11.2,178991
"Shelby County, TN",2016,24.5,934603
"Snohomish County, WA",2016,2.5,787620
"Solano County, CA",2016,6.1,440207
"Sonoma County, CA",2003,4.3,466489
"Spartanburg County, SC",2015,8.7,297302
"Spokane County, WA",2013,4.8,479398
"St. Clair County, IL",2016,14.5,262759
"St. Joseph County, IN",2016,7.4,269141
"St. Louis city, MO",2016,44.6,311404
"St. Louis County, MO",2016,12.1,998581
"St. Lucie County, FL",2011,8.2,280379
"Stanislaus County, CA",2016,5,541560
"Stark County, OH",2015,5.3,375165
"Suffolk County, MA",2016,5,784230
"Suffolk County, NY",2016,2.5,1492583
"Summit County, OH",2016,5.6,540300
"Tangipahoa Parish, LA",2016,15.3,130710
"Tarrant County, TX",2016,5.6,2016872
"Travis County, TX",2016,3.8,1199323
"Tulare County, CA",2016,6.9,460437
"Tulsa County, OK",2016,12.4,642940
"Tuscaloosa County, AL",2008,10.6,188093
