"race","income","year","count","rate","number","class"
"black","less than 7500","y2010",55825,28.4,1965669.01408451,"poor"
"black","less than 7500","y2011",35747,17.8,2008258.42696629,"poor"
"black","less than 7500","y2012",49519,21.8,2271513.76146789,"poor"
"black","less than 7500","y2013",49713,21.5,2312232.55813953,"poor"
"black","less than 7500","y2014",30427,16.6,1832951.80722892,"poor"
"black","less than 7500","y2015",27453,14.7,1867551.02040816,"poor"
"other","15000 to 24999","y2010",13245,12.1,1094628.09917355,"middle"
"other","15000 to 24999","y2011",6881,6.1,1128032.78688525,"middle"
"other","15000 to 24999","y2012",20729,16,1295562.5,"middle"
"other","15000 to 24999","y2013",5098,3.7,1377837.83783784,"middle"
"other","15000 to 24999","y2014",14767,12.1,1220413.2231405,"middle"
"other","15000 to 24999","y2015",12193,10.9,1118623.85321101,"middle"
"other","25000 to 34999","y2010",22871,18.3,1249781.42076503,"middle"
"other","25000 to 34999","y2011",10962,9.3,1178709.67741935,"middle"
"other","25000 to 34999","y2012",9245,7.2,1284027.77777778,"middle"
"other","25000 to 34999","y2013",24390,16.8,1451785.71428571,"middle"
"other","25000 to 34999","y2014",8953,6.2,1444032.25806452,"middle"
"other","25000 to 34999","y2015",9147,7.2,1270416.66666667,"middle"
"other","35000 to 49999","y2010",42251,24.3,1738724.27983539,"middle"
"other","35000 to 49999","y2011",8423,4.8,1754791.66666667,"middle"
"other","35000 to 49999","y2012",15283,8.3,1841325.30120482,"middle"
"other","35000 to 49999","y2013",16890,10.3,1639805.82524272,"middle"
"other","35000 to 49999","y2014",NA,NA,NA,"middle"
"other","35000 to 49999","y2015",8690,4.5,1931111.11111111,"middle"
"other","50000 to 74999","y2010",10913,6.1,1789016.39344262,"middle"
"other","50000 to 74999","y2011",25131,12.7,1978818.8976378,"middle"
"other","50000 to 74999","y2012",65376,31.1,2102122.18649518,"middle"
"other","50000 to 74999","y2013",16456,7.2,2285555.55555556,"middle"
"other","50000 to 74999","y2014",15213,6.3,2414761.9047619,"middle"
"other","50000 to 74999","y2015",37551,15.1,2486821.19205298,"middle"
"other","7500 to 14999","y2010",12658,18.5,684216.216216216,"poor"
"other","7500 to 14999","y2011",17640,24,735000,"poor"
"other","7500 to 14999","y2012",7324,8.4,871904.761904762,"poor"
"other","7500 to 14999","y2013",10583,11.5,920260.869565217,"poor"
"other","7500 to 14999","y2014",53246,64.5,825519.379844961,"poor"
"other","7500 to 14999","y2015",30863,40.1,769650.872817955,"poor"
"other","75000 or more","y2010",5365,1.3,4126923.07692308,"rich"
"other","75000 or more","y2011",13329,2.9,4596206.89655172,"rich"
"other","75000 or more","y2012",14218,2.7,5265925.92592593,"rich"
"other","75000 or more","y2013",3024,0.6,5040000,"rich"
"other","75000 or more","y2014",34510,6.3,5477777.77777778,"rich"
"other","75000 or more","y2015",92069,15.1,6097284.76821192,"rich"
"other","less than 7500","y2010",13288,23.2,572758.620689655,"poor"
"other","less than 7500","y2011",22102,30.1,734285.714285714,"poor"
"other","less than 7500","y2012",26027,35.5,733154.929577465,"poor"
