race,income,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,,,15.4,,!,,,9,,!,,,6.1,,!,,,2.6,,!,,,14,,!,,,4.5,,!,,,8.1,,!,,,5.8,,!,,,11.9,,,,2.4,,!,,,0.8,
Hispanic,total,,,19.1,,,,16.5,,,,15.3,,,,12.3,,,,9.7,,,,6.5,,,,11.9,,,,13,,,,7.2,,,,9.1,,,,9.3,,,,,,,,,,
,"Less than $7,500",,,21.8,,,,22.4,,,,17.7,,!,,,9,,!,,,27.5,,!,,,13.2,,!,,,27.1,,!,,,20.7,,!,,,4.7,,!,,,17,,!,,,26.6,,!
,"$7,500 to $14,999",,,15.6,,,,17.7,,,,14.7,,,,7.5,,!,,,11.9,,,,8.8,,!,,,29.9,,,,10.3,,!,,,18.6,,,,14.8,,!,,,9.5,,!,,,,
,"$15,000 to $24,999",,,16.5,,,,8.6,,,,21.4,,,,11.1,,,,9.2,,,,5.1,,!,,,12.5,,,,13.6,,!,,,7.1,,!,,,3.4,,!,,,6.5,,!,,,,
,"$25,000 to $34,999",,,25.6,,,,7.3,,!,,,11.7,,,,10.6,,,,6.9,,!,,,8.3,,!,,,6.5,,!,,,18.9,,,,7.1,,!,,,7,,!,,,13.6,,!,,
,"$35,000 to $49,999",,,32.4,,,,13.8,,!,,,11.2,,,,27.6,,,,7.3,,!,,,6.1,,!,,,10.8,,,,2.1,,!,,,7.4,,!,,,19.8,,,,7.3,,!,,,
,"$50,000 to $74,999",,,9,,!,,,24.9,,,,10.9,,!,,,4.9,,!,,,20.8,,,,3.5,,!,,,10.4,,,,8.1,,!,,,1.9,,!,,,10.9,,!,,,15.6,,!,
,"$75,000 or more",,,18.1,,!,,,12.9,,!,,,28.3,,,,5.8,,!,,,6,,!,,,2.4,,!,,,16.7,,,,21.2,,!,,,4.6,,!,,,4.6,,!,,,4,,!
,Unknown,,,13.8,,,,28.6,,,,11.4,,,,14,,,,5.5,,,,7.5,,,,4.7,,!,,,13.8,,,,8.4,,,,6.2,,,,7.5,,,,,,,,,
