"dv","mname","dvlag","ivspec","iv","term","mu","mu.min","mu.max","se","pval","t","type","pval.class","seq","bic","aic","r2","adjr2","sampname","N","N.states","range","pref","prefbic","dvsd","musd","musd.min","musd.max","approach","mod","spec","method","pval.shp","pval.fill"
"welfbenefits","welfbenefits.controls.normal",NA,NA,"t.post.t","t.post.t",3.48187409224372,-8.77294066294368,15.7366888474311,6.25245650774867,0.577826188926249,0.556880977569158,"shortrun","not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,20.2193129892909,0.17220536098768,-0.43388915674782,0.778299878723179,"dd",NA,"controls","normal","not sig","+ /"
"welfbenefits","welfbenefits.simple.normal",NA,NA,"t.post.t","t.post.t",13.9789666828892,3.63999834741095,24.3179350183674,5.27498384463176,0.00824689074488309,2.65004919344261,"shortrun","at alpha=0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,20.2193129892909,0.69136704547247,0.180025817362779,1.20270827358216,"dd",NA,"simple","normal","at alpha=0.01","+ /at alpha=0.01"
