race,income,,2010,,2011,,2012,,2013,,2014,,2015,,,,,,,,,,,,,,,,
Total,Total,,,1694835,,,,1854837,,,,2084691,,,,1940030,,,,2040647,,,,1827171,,,,,
Non-Hispanic white,Total,,,1002406,,,,1130542,,,,1165275,,,,1164949,,,,1219298,,,,1033014,,,,,
,"Less than $7,500",,,41158,,,,57897,,,,186295,,,,130943,,,,82377,,,,64627,,,,,
,"$7,500 to $14,999",,,75990,,,,194372,,,,93181,,,,161772,,,,98569,,,,145369,,,,,
,"$15,000 to $24,999",,,128168,,,,159556,,,,156159,,,,142994,,,,112046,,,,98981,,,,,
,"$25,000 to $34,999",,,78103,,,,109532,,,,83221,,,,89598,,,,83475,,,,83417,,,,,
,"$35,000 to $49,999",,,116142,,,,125589,,,,107010,,,,146926,,,,157317,,,,105483,,,,,
,"$50,000 to $74,999",,,146352,,,,101989,,,,106568,,,,111075,,,,118063,,,,160212,,,,,
,"$75,000 or more",,,199466,,,,158937,,,,231919,,,,135395,,,,204482,,,,169329,,,,,
,Unknown,,,217028,,,,222670,,,,200922,,,,246246,,,,362968,,,,205595,,,,,
Non-Hispanic black,Total,,,314931,,,,332074,,,,362382,,,,307175,,,,332052,,,,278899,,,,,
,"Less than $7,500",,,55825,,,,35747,,!,,,49519,,,,49713,,,,30427,,!,,,27453,,!,
,"$7,500 to $14,999",,,24760,,!,,,55765,,,,55950,,,,52276,,,,15790,,!,,,48896,,,
,"$15,000 to $24,999",,,51746,,,,35182,,!,,,41580,,!,,,29415,,!,,,31161,,!,,,47269,
,"$25,000 to $34,999",,,29105,,!,,,34372,,!,,,31346,,!,,,14767,,!,,,64894,,!,,,28908
,"$35,000 to $49,999",,,45961,,!,,,12833,,!,,,41012,,,,14831,,!,,,35184,,!,,,15150,
,"$50,000 to $74,999",,,15467,,!,,,4439,,!,,,19764,,!,,,10907,,!,,,22605,,!,,,2346
,"$75,000 or more",,,17580,,!,,,--,,--,,,14384,,!,,,37439,,!,,,7522,,!,,,
,Unknown,,,74486,,,,153736,,,,123211,,,,120882,,,,94551,,,,101356,,,,,
Non-Hispanic other,Total,,,136463,,,,123092,,,,186965,,,,161280,,,,145085,,,,206819,,,,,
,"Less than $7,500",,,13288,,!,,,22102,,!,,,26027,,!,,,16279,,!,,,1509,,!,,,4177
,"$7,500 to $14,999",,,12658,,!,,,17640,,!,,,7324,,!,,,10583,,!,,,53246,,!,,,30863
,"$15,000 to $24,999",,,13245,,!,,,6881,,!,,,20729,,!,,,5098,,!,,,14767,,!,,,12193
,"$25,000 to $34,999",,,22871,,!,,,10962,,!,,,9245,,!,,,24390,,!,,,8953,,!,,,9147
,"$35,000 to $49,999",,,42251,,!,,,8423,,!,,,15283,,!,,,16890,,!,,,--,,,8690,,!
,"$50,000 to $74,999",,,10913,,!,,,25131,,!,,,65376,,!,,,16456,,!,,,15213,,!,,,37551
,"$75,000 or more",,,5365,,!,,,13329,,!,,,14218,,!,,,3024,,!,,,34510,,!,,,92069
,Unknown,,,15872,,!,,,18624,,!,,,28764,,!,,,68560,,,,16888,,!,,,12128,
Hispanic,Total,,,241035,,,,269130,,,,370069,,,,306625,,,,344213,,,,308440,,,,,
,"Less than $7,500",,,43836,,!,,,44879,,,,19686,,!,,,31343,,!,,,28995,,!,,,21640,
,"$7,500 to $14,999",,,20424,,!,,,28345,,!,,,25953,,!,,,25640,,!,,,82008,,,,26787,
,"$15,000 to $24,999",,,40889,,,,33013,,,,33297,,!,,,64839,,,,22466,,!,,,24164,,,
,"$25,000 to $34,999",,,13168,,!,,,33511,,!,,,44052,,,,49644,,,,71537,,,,36252,,,
,"$35,000 to $49,999",,,32584,,!,,,28086,,,,37864,,,,46819,,,,32446,,,,32924,,!,,
,"$50,000 to $74,999",,,20997,,!,,,22888,,!,,,68288,,,,17562,,!,,,12789,,!,,,19392,
,"$75,000 or more",,,10468,,!,,,32100,,,,42085,,,,10983,,!,,,24729,,!,,,26830,,!
,Unknown,,,58669,,,,46307,,,,98844,,,,59797,,,,69243,,,,120452,,,,,
