"countryname","prisonpop","prisonrate","pretrial","pctfemale","pctforeign","occupancy"
"Virgin Islands (United Kingdom)",134,470,37,4.5,NA,90
"Namibia",7400,295,54,2.9,5.5,72.7
"Morocco",82512,232,40.2,2.4,1.4,157.8
"Cambodia",28414,176,70.6,8.6,4.4,206.1
"Niger",10383,53,59.8,4,NA,107
"Cameroon",29341,121,56,2.7,5.3,163.8
"Kyrgyzstan",10574,171,18.4,4.2,5.3,61.7
"Haiti",10512,96,71.1,3.5,NA,454.4
"Argentina",81975,186,47.7,4.2,5.6,112.3
"Uganda",54059,129,51.6,4.4,0.5,312.3
"Benin",7890,68,75.8,5,NA,240
"Thailand",364288,526,18.2,13.2,4.4,144.8
"Indonesia",248389,93,28.6,5.6,0.6,198.5
"Martinique  (France)",814,211,27.3,2.2,NA,110.3
"Guadeloupe  (France)",970,216,26.9,3.2,NA,153.5
"French Guiana/Guyane (France)",726,249,25.9,9.9,63,118.4
"El Salvador",38714,604,29.5,9.2,1.4,333.3
"French Polynesia  (France)",547,191,14.4,3.8,NA,91.3
"New Caledonia  (France)",560,200,14.2,1.4,NA,139.3
"Kazakhstan",33989,186,17,7.5,5.8,68.9
"Malawi",14795,80,10.8,1.1,0.2,211.4
"Guernsey  (United Kingdom)",91,138,16.5,5.5,5.5,61.2
"Greece",10179,95,32.6,5.5,52.9,101.4
"Costa Rica",19226,374,13.3,5.4,13.1,139.4
"Canada",41145,114,38.6,5.6,NA,102.2
"Denmark",3635,63,35.5,3.6,28.6,95.8
"Sierra Leone",4519,58,30.1,2.7,0.8,233.5
"Pakistan",83718,43,69.1,1.8,1.2,157.3
"Bermuda (United Kingdom)",209,319,9.6,5.7,11.5,59.7
"Slovenia",1316,64,20.8,7.4,12.9,98.3
"Belize",1297,356,30.1,3.5,11.1,87.3
"Trinidad and Tobago",3667,270,60.9,2.6,3.1,75.1
"Brunei Darussalam",565,134,7.1,7.3,29.6,132.8
"Tanzania",31382,58,53.1,3.4,3.7,115.7
"Norway",3933,74,23,6.1,30.5,95.2
"Luxembourg",690,115,44.1,5.5,73,97
"Lithuania",6616,235,8.1,4.9,1.7,82.6
"Jersey  (United Kingdom)",140,133,26.4,5,29.3,70
